Land Cover Type,Pixel Count
Tree cover,385035.0901960784
Shrubland,15153.529411764706
Grassland,1022591.6941176475
Cropland,346731.7137254904
Built-up,3438092.2117647044
Bare / sparse vegetation,168537.72941176477
Snow and ice,0
Permanent water bodies,563266.4862745105
Herbaceous wetland,128597.91764705897
Mangroves,0
Moss and lichen,0
