year,coastal_2020,comb_2020,fluvial_2020,pluvial_2020
1985,2.2739437213837266,32.76106345981951,3.351537941381818,29.78265168032819
1986,2.5451749196145386,34.641355415122305,3.4746915665244567,31.410038869713063
1987,2.833266435573212,36.74669595922742,3.6828798375989176,33.22875401244453
1988,2.955687003423335,38.72814982089738,3.9775688691902324,34.975629540509466
1989,3.063446425423144,39.97801250463666,4.116849754768217,36.07668159386806
1990,3.1396843838447777,41.01895386000896,4.237071150740793,37.00913046994804
1991,3.2349818318718198,42.41176271578881,4.441594135352676,38.23993366408192
1992,3.317084248633579,43.57512463901124,4.598468395951038,39.27867584757668
1993,3.3815932903749615,44.71063038511807,4.801525265977889,40.277099879983076
1994,3.4636957071367207,46.004476506408295,5.022908568317633,41.435330402157895
1995,3.53040392075565,46.92373035122299,5.185647287256121,42.235095908292536
1996,3.600777420837158,48.01525265977888,5.427556193786304,43.18880344585547
1997,3.6652864625785404,49.01514280677031,5.631346121105671,44.074336655214445
1998,3.7437235928777213,50.03116021419708,5.777957579608812,44.960602921865934
1999,3.811164863789166,51.17326347593655,6.023531772601575,45.93630217820434
2000,3.8639449888502972,52.02727522171735,6.172342402982264,46.66862641342754
2001,3.942382119149478,53.43621133793255,6.3563397834037065,47.94121387323481
2002,4.03254816612891,54.78357064157642,6.53667187736257,49.155156749640824
2003,4.176960452754504,55.887554924105075,6.648829643117474,50.08247422467319
2004,4.2385372653258235,56.53850979985902,6.747059320314579,50.62566967842733
2005,4.319906624795067,57.14034983701442,6.824763393321244,51.11975029358292
2006,4.385881781121481,57.87780547328522,6.928857528858474,51.73405230471108
2007,4.469450312468272,58.721554416970804,7.034417778980736,52.47737239932201
2008,4.6079981407537405,59.591693423186946,7.114321023864949,53.22948918144312
2009,4.754609599256882,60.43690848145756,7.191292039579098,53.95374978644864
2010,4.844042588943799,61.1435757114427,7.28658948760614,54.567318740284286
2011,4.96499704220889,61.66038110266628,7.3327720970346295,54.98369528243321
2012,5.050764745433228,62.301073176325005,7.450061263837143,55.5386196528676
2013,5.168053912235742,62.89631569784776,7.5050405607758215,56.0422300128259
2014,5.225232381051967,63.53700777150649,7.6149991546531774,56.627209732253434
2015,5.311733141568821,63.918197563614655,7.672177623469403,56.92336487842978
