Bin,Count,Slope,percent
0-2,428343,0,0.7792276542563061
2-5,79034,2,0.14377608231368996
5-10,31121,5,0.05661431102670174
10-20,10147,10,0.018459092380962775
20-90,1057,20,0.0019228600223393766
