Group,Location,Country,Year,Population,Source,Method,Area_km,Density
Benchmark,El-Mansoura,Egypt,2021,2029302,Oxford,Oxford,664.008635399964,3056.13796540109
Benchmark,Luxor,Egypt,2021,1720723,Oxford,Oxford,630.987287821771,2727.0327520227893
Tunis,Tunis,Tunisia,2021,2696439,Oxford,Oxford,1115.15426291701,2417.9964061175538
Benchmark,Rabat,Morocco,2021,2074257,Oxford,Oxford,988.84288327799,2097.6608469121898
Benchmark,Fes,Morocco,2021,1353439,Oxford,Oxford,890.375874372283,1520.0760026816513
Benchmark,Sousse,Tunisia,2021,575477.5,Oxford,Oxford,561.388077779136,1025.097473171504
Benchmark,Sfax,Tunisia,2021,558387.8999999999,Oxford,Oxford,593.810281454377,940.3473086258804
Benchmark,Tripoli,Libya,2021,1458371,Oxford,Oxford,3403.03099782463,428.5506070712421
