Land Cover,Count,Percent
Built-up,3438092.2117647044,0.5666
Grassland,1022591.6941176476,0.1685
Permanent water bodies,563266.4862745105,0.0928
Tree cover,385035.0901960784,0.0635
Cropland,346731.7137254904,0.0571
Bare / sparse vegetation,168537.72941176477,0.0278
Herbaceous wetland,128597.91764705896,0.0212
Shrubland,15153.529411764706,0.0025
Snow and ice,0,0
Mangroves,0,0
Moss and lichen,0,0
