,0
532,242.3
533,340.1
534,72.8
535,356.6
536,80.4
537,194.9
538,188.9
539,9.3
540,281.9
541,8.9
542,108.4
543,278.0
544,260.4
545,212.5
546,34.9
547,76.3
548,355.2
549,266.7
550,66.2
551,133.7
552,336.7
553,341.6
554,94.6
555,243.7
556,2.5
557,69.3
558,274.6
559,182.5
560,341.7
561,105.9
562,340.8
563,162.3
564,73.5
565,160.8
566,61.2
567,237.0
568,306.2
569,57.0
570,209.9
571,160.7
572,244.0
573,332.9
574,29.9
575,332.9
576,64.0
577,242.6
578,161.5
579,62.6
580,178.9
581,334.2
582,235.2
583,147.6
584,239.8
585,161.0
586,304.5
587,70.6
588,158.8
589,59.8
590,241.2
591,70.1
592,341.0
593,251.0
594,243.7
595,148.4
596,163.3
597,338.8
598,71.0
599,
600,
601,116.3
602,31.6
603,214.9
604,296.3
605,331.6
606,59.9
607,237.9
608,335.1
609,66.9
610,236.2
611,148.8
612,251.4
613,339.1
614,152.8
615,254.6
616,259.8
617,352.8
618,98.6
619,293.7
620,176.9
621,10.1
622,23.3
623,113.7
624,295.3
625,153.6
626,203.4
627,115.3
628,41.9
629,303.9
630,342.8
631,159.1
632,253.9
633,80.7
634,347.6
635,162.8
636,237.6
637,70.6
638,352.5
639,167.6
640,99.0
641,275.6
642,5.3
643,178.3
644,72.6
645,276.1
646,342.0
647,178.2
648,285.2
649,72.9
650,251.6
651,337.1
652,162.0
653,69.8
654,247.8
655,338.7
656,157.8
657,163.0
658,341.7
659,249.4
660,341.3
661,252.8
662,6.7
663,155.9
664,72.8
665,254.0
666,149.9
667,335.9
668,63.3
669,244.4
670,151.7
671,326.7
672,63.8
673,252.9
674,128.9
675,274.0
676,325.8
677,67.7
678,247.0
679,96.6
680,23.3
681,190.1
682,111.1
683,23.5
684,203.3
685,21.8
686,76.1
687,203.5
688,24.1
689,202.5
690,96.6
691,288.1
692,24.5
693,204.1
694,23.2
695,204.5
696,72.1
697,19.8
698,203.2
699,93.7
700,11.6
701,199.8
702,58.6
703,7.9
704,79.5
705,191.9
706,8.6
707,187.9
708,80.6
709,68.2
710,338.9
711,157.6
712,158.9
713,75.4
714,53.2
715,159.4
716,255.4
717,69.0
718,158.7
719,249.0
720,58.8
721,338.8
722,156.6
723,238.8
724,64.4
725,338.5
726,67.2
727,199.3
728,337.7
729,159.9
730,74.1
731,251.6
732,237.2
733,155.6
734,37.8
735,116.9
736,349.9
737,217.8
738,41.1
739,134.7
740,307.4
741,268.3
742,108.1
743,323.8
744,9.0
745,244.4
746,88.3
747,92.3
748,274.0
749,21.4
750,195.8
751,274.6
752,182.1
753,15.8
754,2.1
755,44.0
756,242.0
757,166.1
758,222.2
759,136.6
760,346.1
761,303.4
762,101.4
763,316.6
764,159.6
765,75.4
766,281.4
767,328.9
768,67.0
769,255.4
770,233.9
771,327.5
772,56.1
773,247.0
774,10.7
775,70.7
776,224.0
777,245.2
778,288.1
779,127.4
780,220.6
781,349.9
782,120.7
783,220.9
784,87.2
785,300.7
786,221.0
787,78.3
788,267.2
789,222.8
790,121.0
791,325.0
792,61.8
793,113.2
794,301.0
795,342.4
796,166.0
797,47.9
798,159.5
799,3.5
800,305.2
801,60.5
802,333.7
803,183.5
804,263.7
805,81.4
806,171.8
807,152.7
808,152.7
809,248.9
810,71.1
811,331.0
812,251.0
813,245.7
814,326.4
815,146.6
816,153.1
817,332.7
818,332.7
819,154.3
820,56.1
821,330.3
822,241.8
823,334.3
824,155.1
825,71.0
826,199.9
827,19.1
828,290.6
829,109.3
830,199.8
831,19.3
832,289.5
833,110.3
834,249.9
835,19.8
