type,total_major_road_meter,meter_in_flood_zones,percentage_in_flood_zones
coastal_2020,559452.760989672,4114.2092425034725,0.7353988628504462
fluvial_2020,559452.760989672,15362.775884389906,2.746036297544256
pluvial_2020,559452.760989672,147927.24923352365,26.44141910602788
comb_2020,559452.760989672,159472.41136725678,28.5050718286116
