Bin,Count,Elevation,percent
-5-40,413599,NA,0.7524126928107666
40-90,94379,40,0.17169276892542618
90-135,32786,90,0.05964376738457732
135-185,8043,135,0.014631697098583401
185-235,890,185,0.0016190737806464287
