month,monthName,maxPv
1,Jan,3.38
2,Feb,3.39
3,Mar,4.62
4,Apr,4.93
5,May,5.0
6,Jun,5.35
7,Jul,5.37
8,Aug,5.2
9,Sep,4.72
10,Oct,4.26
11,Nov,3.37
12,Dec,3.19
