year,yearName,pu
1,1985,29.78
2,1986,31.41
3,1987,33.23
4,1988,34.98
5,1989,36.08
6,1990,37.01
7,1991,38.24
8,1992,39.28
9,1993,40.28
10,1994,41.44
11,1995,42.24
12,1996,43.19
13,1997,44.07
14,1998,44.96
15,1999,45.94
16,2000,46.67
17,2001,47.94
18,2002,49.16
19,2003,50.08
20,2004,50.63
21,2005,51.12
22,2006,51.73
23,2007,52.48
24,2008,53.23
25,2009,53.95
26,2010,54.57
27,2011,54.98
28,2012,55.54
29,2013,56.04
30,2014,56.63
31,2015,56.92
