year,yearName,cu
1,1985,2.27
2,1986,2.55
3,1987,2.83
4,1988,2.96
5,1989,3.06
6,1990,3.14
7,1991,3.23
8,1992,3.32
9,1993,3.38
10,1994,3.46
11,1995,3.53
12,1996,3.6
13,1997,3.67
14,1998,3.74
15,1999,3.81
16,2000,3.86
17,2001,3.94
18,2002,4.03
19,2003,4.18
20,2004,4.24
21,2005,4.32
22,2006,4.39
23,2007,4.47
24,2008,4.61
25,2009,4.75
26,2010,4.84
27,2011,4.96
28,2012,5.05
29,2013,5.17
30,2014,5.23
31,2015,5.31
