year,yearName,comb
1,1985,32.76
2,1986,34.64
3,1987,36.75
4,1988,38.73
5,1989,39.98
6,1990,41.02
7,1991,42.41
8,1992,43.58
9,1993,44.71
10,1994,46.0
11,1995,46.92
12,1996,48.02
13,1997,49.02
14,1998,50.03
15,1999,51.17
16,2000,52.03
17,2001,53.44
18,2002,54.78
19,2003,55.89
20,2004,56.54
21,2005,57.14
22,2006,57.88
23,2007,58.72
24,2008,59.59
25,2009,60.44
26,2010,61.14
27,2011,61.66
28,2012,62.3
29,2013,62.9
30,2014,63.54
31,2015,63.92
